application,library,version,license,compatibility_status,severity,reason,recommendation
Identity Service,React,1.0.0,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Identity Service,Express,1.0.0,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,FastAPI,3.0.0,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,Kafka Client,3.2.1,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,PostgreSQL JDBC,1.5.0,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,MySQL Connector,2.14.1,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,Redis Client,3.2.1,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Identity Service,Netty,3.2.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,Hibernate,3.0.0,Proprietary,Compatible,Low,Proprietary is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,OpenSSL,1.5.0,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,JUnit5,2.0.0,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,OkHttp,2.0.0,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,Guava,2.17.1,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,BouncyCastle,3.2.1,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,Commons IO,2.0.0,GPL-3.0,Incompatible,Critical,GPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,BouncyCastle,2.14.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,Axios,2.0.0,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,Jetty,1.5.0,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,Guava,1.0.0,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,Commons IO,2.14.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,Lodash,2.0.0,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,Guava,2.14.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,OkHttp,3.2.1,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,SnakeYAML,3.2.1,GPL-3.0,Incompatible,Critical,GPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,Jackson,3.0.0,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Identity Service,Guava,3.2.1,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,Jetty,2.17.1,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,OpenSSL,1.0.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,Jetty,3.0.0,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Identity Service,Gson,3.0.0,Proprietary,Compatible,Low,Proprietary is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,Guava,2.0.0,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,Guava,2.17.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,Guava,2.0.0,Proprietary,Compatible,Low,Proprietary is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,SnakeYAML,2.14.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,Commons IO,2.17.1,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,Jackson,2.0.0,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Identity Service,Jetty,2.0.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,Lodash,3.2.1,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,BouncyCastle,3.0.0,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Identity Service,Guava,3.0.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,OpenSSL,1.0.0,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,Commons IO,2.0.0,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,Lodash,2.14.1,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,Jetty,2.0.0,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Identity Service,Jackson,1.5.0,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,SLF4J,2.17.1,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,Jackson,1.0.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Identity Service,Jackson,2.17.1,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Identity Service,Log4j,1.0.0,GPL-3.0,Incompatible,Critical,GPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,Spring Boot,2.0.0,GPL-3.0,Incompatible,Critical,GPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,React,1.5.0,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,Express,2.17.1,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,FastAPI,2.17.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,Kafka Client,1.5.0,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,PostgreSQL JDBC,2.17.1,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Analytics Platform,MySQL Connector,2.14.1,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,Redis Client,1.5.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,Netty,3.2.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,Hibernate,3.0.0,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,Tomcat,1.0.0,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,Lodash,1.5.0,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Analytics Platform,Lodash,3.2.1,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,Gson,3.2.1,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,Jackson,1.0.0,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,JUnit5,2.17.1,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Analytics Platform,Guava,2.17.1,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,Axios,2.14.1,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,BouncyCastle,2.17.1,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,Tomcat,1.5.0,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,BouncyCastle,1.0.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,Jackson,2.17.1,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,Gson,1.5.0,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,Commons IO,1.0.0,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Analytics Platform,OkHttp,1.0.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,Axios,2.17.1,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,SLF4J,1.5.0,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,SLF4J,2.17.1,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,Lodash,2.17.1,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,Lodash,2.14.1,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Analytics Platform,Axios,1.5.0,GPL-3.0,Incompatible,Critical,GPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,Log4j,1.0.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,Lodash,1.0.0,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Analytics Platform,OpenSSL,3.2.1,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,OpenSSL,2.17.1,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,Gson,3.2.1,LGPL-3.0,Incompatible,Medium,LGPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,OpenSSL,2.14.1,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,OpenSSL,3.0.0,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,Commons IO,1.5.0,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,Log4j,1.5.0,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,Jackson,1.0.0,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,BouncyCastle,3.0.0,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Analytics Platform,OpenSSL,3.2.1,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,OpenSSL,1.0.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,Lodash,2.17.1,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,Gson,3.0.0,Proprietary,Compatible,Low,Proprietary is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,BouncyCastle,2.17.1,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Analytics Platform,Log4j,3.0.0,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Analytics Platform,BouncyCastle,1.5.0,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Analytics Platform,BouncyCastle,2.17.1,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Notification Service,Spring Boot,1.5.0,MPL-2.0,Incompatible,Low,MPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Notification Service,React,1.5.0,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Notification Service,Express,3.0.0,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Notification Service,FastAPI,1.5.0,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Notification Service,Kafka Client,2.0.0,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Notification Service,PostgreSQL JDBC,2.14.1,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Notification Service,MySQL Connector,2.17.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Notification Service,Redis Client,2.14.1,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Notification Service,Netty,3.2.1,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Notification Service,Hibernate,3.0.0,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Notification Service,JUnit5,2.17.1,GPL-2.0,Incompatible,Critical,GPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Notification Service,Tomcat,3.2.1,GPL-3.0,Incompatible,Critical,GPL-3.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Notification Service,OpenSSL,1.0.0,Unknown,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Notification Service,Jackson,2.14.1,Unlicense,Compatible,Low,Unlicense is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Notification Service,SLF4J,2.17.1,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Notification Service,Log4j,3.2.1,ISC,Compatible,Low,ISC is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Notification Service,Gson,2.17.1,EPL-2.0,Incompatible,Low,EPL-2.0 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Notification Service,SnakeYAML,2.17.1,No-License,Unknown,High,The dependency license is unknown or has no verified license grant.,Obtain a verified SPDX license declaration or replace the dependency.
Notification Service,Commons IO,1.5.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Notification Service,Jackson,1.0.0,Apache-2.0,Compatible,Low,Apache-2.0 is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Notification Service,Axios,1.5.0,LGPL-2.1,Incompatible,Medium,LGPL-2.1 is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
Notification Service,Commons IO,3.0.0,MIT,Compatible,Low,MIT is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Notification Service,Jackson,1.0.0,BSD-3-Clause,Compatible,Low,BSD-3-Clause is permitted by the Proprietary application policy.,Retain license notices and reassess on dependency or policy changes.
Notification Service,OpenSSL,3.0.0,CDDL,Incompatible,Medium,CDDL is not compatible with the Proprietary application policy.,"Replace the dependency, obtain an approved exception, or change the application policy."
