application,library,version,last_updated,age_days,age_months,age_years,maintenance_status,risk_level,recommendation
Customer Portal,Spring Boot,1.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,React,3.2.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,Express,2.14.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,FastAPI,3.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,Kafka Client,1.5.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,PostgreSQL JDBC,2.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,MySQL Connector,3.2.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,Redis Client,2.14.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,Netty,2.17.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,Hibernate,1.5.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Customer Portal,Jetty,2.17.1,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
Customer Portal,OkHttp,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,SLF4J,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,BouncyCastle,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Gson,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Gson,2.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,JUnit5,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Commons IO,1.0.0,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
Customer Portal,OpenSSL,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,OkHttp,2.14.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Tomcat,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Gson,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,JUnit5,2.14.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,SLF4J,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,SLF4J,1.5.0,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
Customer Portal,Jetty,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,JUnit5,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Lodash,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,BouncyCastle,2.14.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Jetty,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Jackson,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,SLF4J,2.17.1,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
Customer Portal,Jackson,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Log4j,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Log4j,2.17.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Gson,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,SnakeYAML,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Log4j,2.17.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,SLF4J,2.14.1,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
Customer Portal,SLF4J,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Jackson,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Log4j,2.14.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Guava,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,BouncyCastle,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Jetty,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,SLF4J,1.0.0,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
Customer Portal,OpenSSL,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Jackson,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Tomcat,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Customer Portal,Gson,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Spring Boot,1.5.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Payment Gateway,React,2.14.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Payment Gateway,Express,2.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Payment Gateway,FastAPI,2.14.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Payment Gateway,Kafka Client,3.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Payment Gateway,PostgreSQL JDBC,3.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Payment Gateway,MySQL Connector,2.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Payment Gateway,Redis Client,2.14.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Payment Gateway,Netty,1.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Payment Gateway,Hibernate,2.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Payment Gateway,JUnit5,2.17.1,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
Payment Gateway,SLF4J,2.14.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Log4j,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,SLF4J,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,SLF4J,2.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,BouncyCastle,2.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Axios,2.14.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Commons IO,1.5.0,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
Payment Gateway,Gson,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Axios,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Gson,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Jackson,2.17.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Gson,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Jackson,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Tomcat,3.0.0,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
Payment Gateway,Guava,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,SnakeYAML,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,SLF4J,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,BouncyCastle,2.17.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Tomcat,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Lodash,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,JUnit5,2.0.0,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
Payment Gateway,Tomcat,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Jackson,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,SnakeYAML,2.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,BouncyCastle,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,OkHttp,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Guava,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Log4j,3.2.1,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
Payment Gateway,Gson,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,OpenSSL,2.14.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Guava,2.17.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Tomcat,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Guava,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Tomcat,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Gson,1.5.0,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
Payment Gateway,Lodash,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Jackson,2.14.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,Tomcat,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Payment Gateway,BouncyCastle,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Spring Boot,1.5.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRMS,React,1.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRMS,Express,2.17.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRMS,FastAPI,2.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRMS,Kafka Client,2.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRMS,PostgreSQL JDBC,1.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRMS,MySQL Connector,3.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRMS,Redis Client,3.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRMS,Netty,2.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRMS,Hibernate,1.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
HRMS,OkHttp,2.17.1,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRMS,OkHttp,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Jackson,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,SnakeYAML,2.14.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Tomcat,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,OkHttp,2.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Gson,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Commons IO,2.14.1,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRMS,Jackson,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,OpenSSL,2.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,OpenSSL,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Axios,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,JUnit5,2.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Guava,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Axios,1.0.0,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRMS,SLF4J,2.14.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Commons IO,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,SnakeYAML,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Tomcat,2.17.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Guava,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,BouncyCastle,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Log4j,2.17.1,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRMS,SLF4J,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Tomcat,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Commons IO,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Gson,2.14.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,BouncyCastle,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,OpenSSL,2.17.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,OkHttp,3.0.0,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRMS,SnakeYAML,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Log4j,2.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Axios,2.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Log4j,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,SLF4J,2.14.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Commons IO,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Commons IO,2.0.0,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
HRMS,BouncyCastle,2.17.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Guava,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Log4j,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
HRMS,Jetty,1.5.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Inventory Service,Spring Boot,3.2.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Inventory Service,React,3.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Inventory Service,Express,1.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Inventory Service,FastAPI,1.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Inventory Service,Kafka Client,3.2.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Inventory Service,PostgreSQL JDBC,3.2.1,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Inventory Service,MySQL Connector,2.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Inventory Service,Redis Client,2.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Inventory Service,Netty,1.0.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Inventory Service,Hibernate,1.5.0,2025-11-01,252,8.3,0.69,Actively Maintained,Low,Continue monitoring releases and security advisories.
Inventory Service,JUnit5,2.17.1,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
Inventory Service,BouncyCastle,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Inventory Service,Jetty,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Inventory Service,Tomcat,2.17.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Inventory Service,OkHttp,3.2.1,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Inventory Service,Jackson,1.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Inventory Service,Axios,3.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
Inventory Service,Guava,1.5.0,2022-01-15,1638,53.8,4.48,Unmaintained,Critical,Replace or isolate the dependency and obtain an approved exception.
Inventory Service,Guava,2.0.0,2025-03-10,488,16.0,1.34,Moderately Outdated,Medium,Plan an upgrade review and confirm active upstream support.
