application,dependency_id,library,version,dependency_type,cve_id,cvss,severity,patch_available,exploitability,description,fixed_version,affected_version_range
CustomerPortal,DEP-0003,netty-all,2.7.4,Direct,CVE-2024-1163,6.8,MEDIUM,True,NONE,Man-in-the-middle due to improper TLS certificate validation,6.0.0,"4.3.0,2.8.0"
CustomerPortal,DEP-0004,json-iterator,2.3.2,Direct,CVE-2025-1082,3.4,LOW,True,HIGH,Command injection through unsanitized shell arguments,4.3.0,"4.0.0,4.2.0"
CustomerPortal,DEP-0009,lombok,4.1.2,Direct,CVE-2023-1002,9.9,CRITICAL,True,MEDIUM,Open redirect vulnerability in URL handling,4.10.0,"4.6.0,4.7.0"
CustomerPortal,DEP-0011,jackson-annotations,5.0.6,Direct,CVE-2023-1017,8.0,HIGH,True,HIGH,Denial of service through recursive parsing of nested structures,5.5.0,"5.0.0,5.3.0"
CustomerPortal,DEP-0015,spring-security-core,1.2.0,Direct,CVE-2024-1104,3.3,LOW,True,LOW,Denial of service through recursive parsing of nested structures,3.4.0,"3.2.0,3.4.0"
CustomerPortal,DEP-0016,snakeyaml,3.1.0,Direct,CVE-2024-1013,8.4,HIGH,True,LOW,Open redirect vulnerability in URL handling,4.4.0,"4.2.0,4.3.0"
CustomerPortal,DEP-0019,pyyaml,5.7.10,Direct,CVE-2026-1067,6.3,MEDIUM,False,LOW,Regular expression denial of service (ReDoS),,"5.7.0,5.8.0"
CustomerPortal,DEP-0019,pyyaml,5.7.10,Direct,CVE-2022-1069,9.3,CRITICAL,True,LOW,XML external entity (XXE) injection in parser,5.10.0,"5.5.0,5.7.0"
CustomerPortal,DEP-0020,jackson-databind,1.1.6,Direct,CVE-2024-1117,5.6,MEDIUM,True,LOW,Integer overflow leading to heap corruption,5.0.0,"3.3.0,4.10.0"
CustomerPortal,DEP-0021,caffeine,2.5.7,Direct,CVE-2026-1084,1.3,LOW,True,LOW,Insecure random number generation for cryptographic operations,3.6.0,"3.5.0,3.6.0"
CustomerPortal,DEP-0021,caffeine,2.5.7,Direct,CVE-2022-1085,5.5,MEDIUM,True,MEDIUM,Integer overflow leading to heap corruption,4.7.0,"4.5.0,4.8.0"
CustomerPortal,DEP-0024,jedis,3.9.3,Direct,CVE-2024-1178,1.0,LOW,True,MEDIUM,Denial of service through recursive parsing of nested structures,5.0.0,"3.5.0,2.10.0"
CustomerPortal,DEP-0024,jedis,3.9.3,Direct,CVE-2025-1195,1.1,LOW,True,LOW,Man-in-the-middle due to improper TLS certificate validation,6.0.0,"1.3.0,3.11.0"
CustomerPortal,DEP-0027,mockito-core,1.2.10,Direct,CVE-2023-1188,4.6,MEDIUM,True,MEDIUM,Regular expression denial of service (ReDoS),4.0.0,"3.1.0,3.6.0"
CustomerPortal,DEP-0029,hibernate-validator,1.13.1,Direct,CVE-2024-1060,9.7,CRITICAL,True,MEDIUM,Server-side request forgery (SSRF) via URL parameter,2.8.0,"2.7.0,2.10.0"
CustomerPortal,DEP-0029,hibernate-validator,1.13.1,Direct,CVE-2021-1062,1.3,LOW,True,LOW,Buffer overflow in native binding,4.9.0,"4.8.0,4.9.0"
CustomerPortal,DEP-0037,fabric,3.0.6,Transitive,CVE-2024-1154,4.4,MEDIUM,False,MEDIUM,Insecure random number generation for cryptographic operations,,"4.2.0,2.7.0"
CustomerPortal,DEP-0038,commons-io,2.4.6,Transitive,CVE-2023-1070,6.8,MEDIUM,True,HIGH,Open redirect vulnerability in URL handling,2.11.0,"2.6.0,2.8.0"
CustomerPortal,DEP-0038,commons-io,2.4.6,Transitive,CVE-2024-1071,5.1,MEDIUM,True,NONE,Open redirect vulnerability in URL handling,3.3.0,"3.1.0,3.4.0"
CustomerPortal,DEP-0038,commons-io,2.4.6,Transitive,CVE-2025-1072,8.6,HIGH,True,MEDIUM,Remote code execution via JNDI lookup in log messages,4.3.0,"4.1.0,4.2.0"
CustomerPortal,DEP-0038,commons-io,2.4.6,Transitive,CVE-2021-1073,7.7,HIGH,True,NONE,Server-side request forgery (SSRF) via URL parameter,5.11.0,"5.6.0,5.7.0"
CustomerPortal,DEP-0040,assertj-core,3.6.6,Transitive,CVE-2024-1118,5.0,MEDIUM,False,NONE,SQL injection through improperly sanitized user input,,"2.1.0,4.10.0"
CustomerPortal,DEP-0040,assertj-core,3.6.6,Transitive,CVE-2023-1146,2.8,LOW,True,MEDIUM,Authentication bypass via timing attack on token comparison,4.0.0,"4.1.0,2.9.0"
CustomerPortal,DEP-0043,disruptor,2.2.8,Transitive,CVE-2024-1174,7.4,HIGH,True,LOW,Server-side request forgery (SSRF) via URL parameter,2.0.0,"4.2.0,1.8.0"
CustomerPortal,DEP-0046,eslint,2.10.8,Transitive,CVE-2022-1016,6.2,MEDIUM,True,MEDIUM,Regular expression denial of service (ReDoS),4.2.0,"4.1.0,4.4.0"
CustomerPortal,DEP-0047,aws-sdk-s3,2.4.1,Transitive,CVE-2021-1093,4.1,MEDIUM,True,MEDIUM,Integer overflow leading to heap corruption,3.2.0,"3.1.0,3.4.0"
CustomerPortal,DEP-0049,httpcore,3.4.4,Transitive,CVE-2023-1122,5.8,MEDIUM,True,LOW,Server-side request forgery (SSRF) via URL parameter,4.0.0,"3.3.0,2.12.0"
CustomerPortal,DEP-0050,netty-handler,1.7.3,Transitive,CVE-2024-1079,4.2,MEDIUM,True,LOW,Open redirect vulnerability in URL handling,5.3.0,"5.2.0,5.5.0"
CustomerPortal,DEP-0050,netty-handler,1.7.3,Transitive,CVE-2023-1080,5.5,MEDIUM,True,MEDIUM,Privilege escalation through unsafe deserialization,1.10.0,"1.8.0,1.9.0"
CustomerPortal,DEP-0050,netty-handler,1.7.3,Transitive,CVE-2025-1151,1.1,LOW,True,LOW,Open redirect vulnerability in URL handling,6.0.0,"1.0.0,2.12.0"
PaymentService,DEP-0051,caffeine,4.4.5,Direct,CVE-2022-1085,5.5,MEDIUM,True,MEDIUM,Integer overflow leading to heap corruption,4.7.0,"4.5.0,4.8.0"
PaymentService,DEP-0051,caffeine,4.4.5,Direct,CVE-2024-1185,2.3,LOW,True,MEDIUM,XML external entity (XXE) injection in parser,2.0.0,"4.3.0,4.6.0"
PaymentService,DEP-0052,aws-sdk-s3,2.0.9,Direct,CVE-2021-1093,4.1,MEDIUM,True,MEDIUM,Integer overflow leading to heap corruption,3.2.0,"3.1.0,3.4.0"
PaymentService,DEP-0054,snakeyaml,3.15.2,Direct,CVE-2024-1013,8.4,HIGH,True,LOW,Open redirect vulnerability in URL handling,4.4.0,"4.2.0,4.3.0"
PaymentService,DEP-0061,aws-sdk-sqs,2.15.7,Direct,CVE-2022-1107,5.6,MEDIUM,True,NONE,XML external entity (XXE) injection in parser,5.0.0,"1.3.0,4.6.0"
PaymentService,DEP-0061,aws-sdk-sqs,2.15.7,Direct,CVE-2025-1111,4.8,MEDIUM,True,MEDIUM,Cross-site scripting (XSS) in template rendering engine,4.0.0,"4.4.0,2.10.0"
PaymentService,DEP-0061,aws-sdk-sqs,2.15.7,Direct,CVE-2024-1137,3.8,LOW,True,LOW,Prototype pollution in object merge utility,3.0.0,"4.1.0,4.8.0"
PaymentService,DEP-0061,aws-sdk-sqs,2.15.7,Direct,CVE-2022-1156,6.4,MEDIUM,True,HIGH,Command injection through unsanitized shell arguments,3.0.0,"2.5.0,2.6.0"
PaymentService,DEP-0063,jedis,2.15.7,Direct,CVE-2024-1178,1.0,LOW,True,MEDIUM,Denial of service through recursive parsing of nested structures,5.0.0,"3.5.0,2.10.0"
PaymentService,DEP-0063,jedis,2.15.7,Direct,CVE-2025-1195,1.1,LOW,True,LOW,Man-in-the-middle due to improper TLS certificate validation,6.0.0,"1.3.0,3.11.0"
PaymentService,DEP-0067,assertj-core,2.0.5,Direct,CVE-2023-1146,2.8,LOW,True,MEDIUM,Authentication bypass via timing attack on token comparison,4.0.0,"4.1.0,2.9.0"
PaymentService,DEP-0069,netty-all,5.4.7,Direct,CVE-2024-1163,6.8,MEDIUM,True,NONE,Man-in-the-middle due to improper TLS certificate validation,6.0.0,"4.3.0,2.8.0"
PaymentService,DEP-0077,jackson-databind,2.11.9,Direct,CVE-2024-1117,5.6,MEDIUM,True,LOW,Integer overflow leading to heap corruption,5.0.0,"3.3.0,4.10.0"
PaymentService,DEP-0085,bouncycastle-bcprov,2.8.8,Direct,CVE-2025-1010,4.6,MEDIUM,True,HIGH,Server-side request forgery (SSRF) via URL parameter,4.9.0,"4.5.0,4.8.0"
PaymentService,DEP-0085,bouncycastle-bcprov,2.8.8,Direct,CVE-2025-1191,0.6,LOW,True,LOW,Denial of service through recursive parsing of nested structures,4.0.0,"1.4.0,2.9.0"
PaymentService,DEP-0087,jackson-annotations,3.9.1,Transitive,CVE-2023-1017,8.0,HIGH,True,HIGH,Denial of service through recursive parsing of nested structures,5.5.0,"5.0.0,5.3.0"
PaymentService,DEP-0087,jackson-annotations,3.9.1,Transitive,CVE-2025-1147,4.7,MEDIUM,True,MEDIUM,Path traversal allowing arbitrary file read,2.0.0,"4.4.0,1.7.0"
PaymentService,DEP-0088,testify,2.2.6,Transitive,CVE-2025-1043,9.9,CRITICAL,True,HIGH,Path traversal allowing arbitrary file read,2.11.0,"2.7.0,2.8.0"
PaymentService,DEP-0088,testify,2.2.6,Transitive,CVE-2026-1044,7.7,HIGH,True,MEDIUM,Path traversal allowing arbitrary file read,5.8.0,"5.5.0,5.7.0"
PaymentService,DEP-0088,testify,2.2.6,Transitive,CVE-2026-1045,8.0,HIGH,True,LOW,Server-side request forgery (SSRF) via URL parameter,2.10.0,"2.7.0,2.10.0"
PaymentService,DEP-0091,disruptor,2.3.4,Transitive,CVE-2024-1174,7.4,HIGH,True,LOW,Server-side request forgery (SSRF) via URL parameter,2.0.0,"4.2.0,1.8.0"
PaymentService,DEP-0095,lombok,3.12.5,Transitive,CVE-2023-1002,9.9,CRITICAL,True,MEDIUM,Open redirect vulnerability in URL handling,4.10.0,"4.6.0,4.7.0"
PaymentService,DEP-0095,lombok,3.12.5,Transitive,CVE-2022-1142,0.7,LOW,False,LOW,Cross-site scripting (XSS) in template rendering engine,,"4.0.0,2.11.0"
PaymentService,DEP-0098,aiohttp,2.4.1,Transitive,CVE-2024-1063,0.7,LOW,True,MEDIUM,Regular expression denial of service (ReDoS),3.1.0,"3.0.0,3.1.0"
PaymentService,DEP-0098,aiohttp,2.4.1,Transitive,CVE-2022-1064,8.3,HIGH,True,NONE,Denial of service through recursive parsing of nested structures,5.11.0,"5.6.0,5.8.0"
PaymentService,DEP-0098,aiohttp,2.4.1,Transitive,CVE-2022-1108,8.2,HIGH,True,LOW,Privilege escalation through unsafe deserialization,3.0.0,"1.2.0,3.12.0"
PaymentService,DEP-0098,aiohttp,2.4.1,Transitive,CVE-2022-1180,5.6,MEDIUM,True,HIGH,Remote code execution via deserialization of untrusted data,3.0.0,"4.3.0,4.9.0"
PaymentService,DEP-0099,netty-handler,4.12.3,Transitive,CVE-2024-1079,4.2,MEDIUM,True,LOW,Open redirect vulnerability in URL handling,5.3.0,"5.2.0,5.5.0"
PaymentService,DEP-0099,netty-handler,4.12.3,Transitive,CVE-2025-1151,1.1,LOW,True,LOW,Open redirect vulnerability in URL handling,6.0.0,"1.0.0,2.12.0"
PaymentService,DEP-0100,bandit,3.6.3,Transitive,CVE-2023-1065,5.3,MEDIUM,True,NONE,Buffer overflow in native binding,5.3.0,"5.2.0,5.4.0"
PaymentService,DEP-0100,bandit,3.6.3,Transitive,CVE-2024-1198,8.5,HIGH,False,LOW,XML external entity (XXE) injection in parser,,"1.2.0,4.8.0"
InternalAPI,DEP-0102,pip,2.4.2,Direct,CVE-2024-1184,8.6,HIGH,True,LOW,Denial of service through recursive parsing of nested structures,3.0.0,"4.0.0,3.12.0"
InternalAPI,DEP-0104,setuptools,2.12.9,Direct,CVE-2024-1169,6.3,MEDIUM,True,LOW,Open redirect vulnerability in URL handling,3.0.0,"4.2.0,1.10.0"
InternalAPI,DEP-0105,numpy,5.8.2,Direct,CVE-2022-1148,7.4,HIGH,True,MEDIUM,Buffer overflow in native binding,6.0.0,"3.1.0,3.7.0"
InternalAPI,DEP-0112,paramiko,1.2.4,Direct,CVE-2023-1127,8.0,HIGH,True,NONE,Denial of service through recursive parsing of nested structures,6.0.0,"4.4.0,4.7.0"
InternalAPI,DEP-0112,paramiko,1.2.4,Direct,CVE-2024-1177,8.3,HIGH,True,MEDIUM,Privilege escalation through unsafe deserialization,2.0.0,"4.4.0,4.10.0"
InternalAPI,DEP-0113,markupsafe,2.15.7,Direct,CVE-2022-1161,2.6,LOW,True,LOW,Insecure random number generation for cryptographic operations,3.0.0,"3.0.0,2.10.0"
InternalAPI,DEP-0115,bandit,1.2.8,Direct,CVE-2023-1065,5.3,MEDIUM,True,NONE,Buffer overflow in native binding,5.3.0,"5.2.0,5.4.0"
InternalAPI,DEP-0115,bandit,1.2.8,Direct,CVE-2022-1116,4.5,MEDIUM,True,LOW,Path traversal allowing arbitrary file read,3.0.0,"2.2.0,2.6.0"
InternalAPI,DEP-0115,bandit,1.2.8,Direct,CVE-2024-1198,8.5,HIGH,False,LOW,XML external entity (XXE) injection in parser,,"1.2.0,4.8.0"
InternalAPI,DEP-0119,pyyaml,2.15.5,Direct,CVE-2022-1069,9.3,CRITICAL,True,LOW,XML external entity (XXE) injection in parser,5.10.0,"5.5.0,5.7.0"
InternalAPI,DEP-0119,pyyaml,2.15.5,Direct,CVE-2024-1115,6.0,MEDIUM,True,NONE,Prototype pollution in object merge utility,5.0.0,"2.0.0,4.7.0"
InternalAPI,DEP-0120,node-fetch,2.11.2,Direct,CVE-2023-1119,8.8,HIGH,True,MEDIUM,Buffer overflow in native binding,6.0.0,"3.0.0,3.7.0"
InternalAPI,DEP-0120,node-fetch,2.11.2,Direct,CVE-2023-1173,5.7,MEDIUM,True,NONE,Cross-site scripting (XSS) in template rendering engine,5.0.0,"1.3.0,1.8.0"
InternalAPI,DEP-0121,httpx,4.5.8,Direct,CVE-2021-1095,5.3,MEDIUM,True,MEDIUM,Prototype pollution in object merge utility,5.5.0,"5.2.0,5.4.0"
InternalAPI,DEP-0121,httpx,4.5.8,Direct,CVE-2025-1096,9.6,CRITICAL,True,NONE,Use-after-free in connection pool management,4.7.0,"4.4.0,4.7.0"
InternalAPI,DEP-0121,httpx,4.5.8,Direct,CVE-2023-1097,9.7,CRITICAL,True,MEDIUM,Insecure random number generation for cryptographic operations,4.7.0,"4.2.0,4.3.0"
InternalAPI,DEP-0123,zap,2.8.3,Direct,CVE-2021-1014,9.5,CRITICAL,True,LOW,Path traversal allowing arbitrary file read,5.3.0,"5.1.0,5.2.0"
InternalAPI,DEP-0130,certifi,2.0.2,Direct,CVE-2022-1168,1.4,LOW,True,MEDIUM,Information disclosure through verbose error messages,3.0.0,"2.2.0,3.10.0"
InternalAPI,DEP-0133,ansible-core,3.10.7,Direct,CVE-2025-1114,2.6,LOW,True,MEDIUM,Open redirect vulnerability in URL handling,6.0.0,"1.0.0,2.9.0"
InternalAPI,DEP-0133,ansible-core,3.10.7,Direct,CVE-2025-1141,6.3,MEDIUM,False,LOW,Cross-site scripting (XSS) in template rendering engine,,"1.4.0,4.10.0"
InternalAPI,DEP-0133,ansible-core,3.10.7,Direct,CVE-2022-1157,5.4,MEDIUM,True,LOW,Buffer overflow in native binding,4.0.0,"4.0.0,1.10.0"
InternalAPI,DEP-0138,celery,2.8.4,Transitive,CVE-2022-1110,3.4,LOW,True,NONE,Insecure random number generation for cryptographic operations,5.0.0,"1.2.0,4.9.0"
InternalAPI,DEP-0141,idna,2.1.4,Transitive,CVE-2021-1088,5.5,MEDIUM,True,HIGH,Remote code execution via deserialization of untrusted data,5.6.0,"5.5.0,5.8.0"
InternalAPI,DEP-0142,boto3,2.5.6,Transitive,CVE-2026-1005,3.6,LOW,True,LOW,Open redirect vulnerability in URL handling,3.13.0,"3.8.0,3.10.0"
InternalAPI,DEP-0142,boto3,2.5.6,Transitive,CVE-2025-1155,6.2,MEDIUM,True,MEDIUM,Open redirect vulnerability in URL handling,4.0.0,"4.3.0,2.11.0"
InternalAPI,DEP-0143,django,1.4.6,Transitive,CVE-2022-1033,5.2,MEDIUM,True,MEDIUM,Integer overflow leading to heap corruption,4.7.0,"4.6.0,4.8.0"
InternalAPI,DEP-0145,urllib3,2.7.6,Transitive,CVE-2023-1140,6.0,MEDIUM,True,MEDIUM,Privilege escalation through unsafe deserialization,3.0.0,"3.2.0,2.7.0"
InternalAPI,DEP-0146,scikit-learn,3.7.4,Transitive,CVE-2022-1008,5.1,MEDIUM,True,HIGH,Open redirect vulnerability in URL handling,4.3.0,"4.1.0,4.3.0"
InternalAPI,DEP-0147,gunicorn,3.0.2,Transitive,CVE-2022-1100,8.5,HIGH,True,MEDIUM,Privilege escalation through unsafe deserialization,4.4.0,"4.0.0,4.3.0"
InternalAPI,DEP-0147,gunicorn,3.0.2,Transitive,CVE-2023-1101,3.8,LOW,True,NONE,Privilege escalation through unsafe deserialization,4.6.0,"4.3.0,4.6.0"
InternalAPI,DEP-0150,pillow,3.12.7,Transitive,CVE-2026-1026,6.8,MEDIUM,True,LOW,Man-in-the-middle due to improper TLS certificate validation,5.6.0,"5.5.0,5.7.0"
HRPortal,DEP-0154,paramiko,5.10.10,Direct,CVE-2023-1127,8.0,HIGH,True,NONE,Denial of service through recursive parsing of nested structures,6.0.0,"4.4.0,4.7.0"
HRPortal,DEP-0155,gunicorn,3.11.7,Direct,CVE-2022-1100,8.5,HIGH,True,MEDIUM,Privilege escalation through unsafe deserialization,4.4.0,"4.0.0,4.3.0"
HRPortal,DEP-0155,gunicorn,3.11.7,Direct,CVE-2023-1101,3.8,LOW,True,NONE,Privilege escalation through unsafe deserialization,4.6.0,"4.3.0,4.6.0"
HRPortal,DEP-0156,numpy,1.9.3,Direct,CVE-2023-1025,5.5,MEDIUM,True,HIGH,Open redirect vulnerability in URL handling,5.6.0,"5.3.0,5.5.0"
HRPortal,DEP-0156,numpy,1.9.3,Direct,CVE-2022-1148,7.4,HIGH,True,MEDIUM,Buffer overflow in native binding,6.0.0,"3.1.0,3.7.0"
HRPortal,DEP-0160,django,2.10.8,Direct,CVE-2022-1033,5.2,MEDIUM,True,MEDIUM,Integer overflow leading to heap corruption,4.7.0,"4.6.0,4.8.0"
HRPortal,DEP-0161,mypy,2.4.5,Direct,CVE-2022-1175,4.7,MEDIUM,True,LOW,Information disclosure through verbose error messages,5.0.0,"4.3.0,2.12.0"
HRPortal,DEP-0163,httpx,3.6.5,Direct,CVE-2021-1095,5.3,MEDIUM,True,MEDIUM,Prototype pollution in object merge utility,5.5.0,"5.2.0,5.4.0"
HRPortal,DEP-0163,httpx,3.6.5,Direct,CVE-2025-1096,9.6,CRITICAL,True,NONE,Use-after-free in connection pool management,4.7.0,"4.4.0,4.7.0"
